id,title,normalized_role,company,location,work_mode,seniority,required_skills,preferred_skills,minimum_experience,salary_min,salary_max,currency,source_url,published_at,collected_at,description
JOB-001,Junior Data Analyst,Data Analyst,Tokopedia,Jakarta,Hybrid,Junior,"SQL|Excel|Tableau|Statistics","Python|Power BI",1,7000000,10000000,IDR,https://example.com/job/001,2026-06-15,2026-07-10,Menganalisis data penjualan harian dan membangun dashboard untuk tim commercial.
JOB-002,Data Analyst - Operations,Data Analyst,Gojek,Jakarta,Onsite,Mid,"SQL|Python|Tableau|Statistics","Airflow|dbt",3,10000000,15000000,IDR,https://example.com/job/002,2026-06-16,2026-07-10,Melakukan analisis data operasional untuk optimasi logistik dan pengiriman.
JOB-003,Senior Data Analyst,Data Analyst,Tiket.com,Jakarta,Remote,Senior,"SQL|Python|Tableau|Statistics|Machine Learning","Spark|Airflow",5,18000000,25000000,IDR,https://example.com/job/003,2026-06-17,2026-07-10,Memimpin tim analitik untuk insight strategis produk dan pertumbuhan.
JOB-004,Data Analyst,Data Analyst,Bukalapak,Jakarta,Hybrid,Mid,"SQL|Excel|Python|Tableau","R|Looker",2,8500000,13000000,IDR,https://example.com/job/004,2026-06-18,2026-07-10,Membangun dan memelihara dashboard metrik bisnis untuk stakeholder internal.
JOB-005,Marketing Data Analyst,Data Analyst,Blibli,Bandung,Onsite,Junior,"SQL|Excel|Google Analytics|Statistics","Python|Tableau",1,6500000,9500000,IDR,https://example.com/job/005,2026-06-19,2026-07-10,Menganalisis performa kampanye marketing dan memberikan rekomendasi optimasi.
JOB-006,Data Analyst - Fintech,Data Analyst,GoTo Financial,Jakarta,Hybrid,Mid,"SQL|Python|Statistics|Excel","Tableau|Airflow",3,12000000,18000000,IDR,https://example.com/job/006,2026-06-20,2026-07-10,Menganalisis data transaksi dan perilaku pengguna untuk produk fintech.
JOB-007,Junior Data Analyst,Data Analyst,Traveloka,Yogyakarta,Remote,Junior,"SQL|Excel|Statistics|Python","Tableau|Power BI",1,6000000,9000000,IDR,https://example.com/job/007,2026-06-21,2026-07-10,Membantu analisis data perjalanan dan preferensi pelanggan.
JOB-008,Data Analyst - Product,Data Analyst,Shopee Indonesia,Jakarta,Onsite,Mid,"SQL|Python|Tableau|Statistics|A/B Testing","R|Excel",2,11000000,16000000,IDR,https://example.com/job/008,2026-06-22,2026-07-10,Berkolaborasi dengan tim produk untuk eksperimen A/B testing dan insight fitur.
JOB-009,Senior Data Analyst,Data Analyst,Bank Mandiri,Jakarta,Hybrid,Senior,"SQL|Python|Tableau|Machine Learning|Statistics","Spark|BigQuery",5,20000000,30000000,IDR,https://example.com/job/009,2026-06-23,2026-07-10,Memimpin inisiatif data-driven di divisi perbankan digital.
JOB-010,Data Analyst,Data Analyst,Sociolla,Surabaya,Remote,Junior,"SQL|Excel|Statistics|Google Analytics","Python|Tableau",1,7000000,10000000,IDR,https://example.com/job/010,2026-06-24,2026-07-10,Menganalisis data penjualan dan inventory untuk e-commerce kecantikan.
JOB-011,Data Analyst - Logistics,Data Analyst,SiCepat,Jakarta,Hybrid,Mid,"SQL|Python|Tableau|Statistics","Airflow|Excel",3,9000000,14000000,IDR,https://example.com/job/011,2026-06-25,2026-07-10,Optimasi rute pengiriman berdasarkan data historis dan real-time.
JOB-012,Data Analyst,Data Analyst,BRI,Jakarta,Onsite,Mid,"SQL|Python|Tableau|Statistics|Excel","SAS|SPSS",3,10000000,16000000,IDR,https://example.com/job/012,2026-06-26,2026-07-10,Menganalisis data kredit dan nasabah untuk pengambilan keputusan bisnis.
JOB-013,Junior Data Analyst,Data Analyst,Dana,Jakarta,Hybrid,Junior,"SQL|Excel|Statistics|Python","Tableau|Power BI",1,7000000,11000000,IDR,https://example.com/job/013,2026-06-27,2026-07-10,Analisis data transaksi dan pengguna untuk produk dompet digital.
JOB-014,Data Analyst - Health,Data Analyst,Halodoc,Jakarta,Remote,Mid,"SQL|Python|Statistics|Excel","Tableau|R",2,10000000,15000000,IDR,https://example.com/job/014,2026-06-28,2026-07-10,Memberikan insight data untuk meningkatkan kualitas layanan telemedicine.
JOB-015,Senior Data Analyst,Data Analyst,Astra Digital,Jakarta,Hybrid,Senior,"SQL|Python|Tableau|Machine Learning|Statistics|BigQuery","Spark|Airflow",5,20000000,30000000,IDR,https://example.com/job/015,2026-06-29,2026-07-10,Memimpin strategi data di lini bisnis digital Astra.
